TRANSITION_DAY,POSITION_SIZE,STATIC_PARAMS.ZSCORE_LOOKBACK,STATIC_PARAMS.ENTRY_THRESHOLD,STATIC_PARAMS.STOP_LOSS_THRESHOLD,ADAPTIVE_PARAMS.OU_LOOKBACK,ADAPTIVE_PARAMS.RISK_AVERSION,score
501,10000,150,1.25,4.0,350,0.25,-inf
501,10000,150,1.25,4.0,350,0.2,-inf
501,10000,150,1.25,4.0,275,0.4,-inf
501,10000,150,1.25,4.0,275,0.3,-inf
501,10000,150,1.25,4.0,275,0.25,-inf
501,10000,150,1.25,4.0,275,0.2,-inf
501,10000,150,1.25,4.0,275,0.15,-inf
501,10000,150,1.25,4.0,275,0.1,-inf
501,10000,150,1.25,4.0,250,0.5,-inf
501,10000,150,1.25,4.0,250,0.45,-inf
501,10000,150,1.25,4.0,250,0.4,-inf
501,10000,150,1.25,4.0,250,0.35,-inf
501,10000,150,1.25,4.0,250,0.3,-inf
501,10000,150,1.25,4.0,250,0.25,-inf
501,10000,150,1.25,4.0,250,0.2,-inf
501,10000,150,1.25,4.0,250,0.15,-inf
501,10000,150,1.25,4.0,250,0.1,-inf
501,10000,150,1.25,3.75,600,0.5,-inf
501,10000,150,1.25,3.75,600,0.45,-inf
501,10000,150,1.25,3.75,600,0.4,-inf
501,10000,150,1.25,3.75,600,0.35,-inf
501,10000,150,1.25,3.75,600,0.3,-inf
501,10000,150,1.25,4.0,275,0.35,-inf
501,10000,150,1.25,4.0,275,0.45,-inf
501,10000,150,1.25,4.0,350,0.15,-inf
501,10000,150,1.25,4.0,275,0.5,-inf
501,10000,150,1.25,4.0,350,0.1,-inf
501,10000,150,1.25,4.0,325,0.5,-inf
501,10000,150,1.25,4.0,325,0.45,-inf
501,10000,150,1.25,4.0,325,0.4,-inf
501,10000,150,1.25,4.0,325,0.35,-inf
501,10000,150,1.25,4.0,325,0.3,-inf
501,10000,150,1.25,4.0,325,0.25,-inf
501,10000,150,1.25,4.0,325,0.2,-inf
501,10000,150,1.25,4.0,325,0.15,-inf
501,10000,150,1.25,4.0,325,0.1,-inf
501,10000,150,1.25,4.0,300,0.5,-inf
501,10000,150,1.25,4.0,300,0.45,-inf
501,10000,150,1.25,4.0,300,0.4,-inf
501,10000,150,1.25,4.0,300,0.35,-inf
501,10000,150,1.25,4.0,300,0.3,-inf
501,10000,150,1.25,4.0,300,0.25,-inf
501,10000,150,1.25,4.0,300,0.2,-inf
501,10000,150,1.25,4.0,300,0.15,-inf
501,10000,150,1.25,4.0,300,0.1,-inf
501,10000,150,1.25,4.0,475,0.25,-inf
501,10000,150,1.25,4.0,475,0.3,-inf
501,10000,150,1.25,4.0,475,0.35,-inf
501,10000,150,1.5,3.0,300,0.15,-inf
501,10000,150,1.5,3.0,275,0.5,-inf
501,10000,150,1.5,3.0,275,0.45,-inf
501,10000,150,1.5,3.0,275,0.4,-inf
501,10000,150,1.5,3.0,275,0.35,-inf
501,10000,150,1.5,3.0,275,0.3,-inf
501,10000,150,1.5,3.0,275,0.25,-inf
501,10000,150,1.5,3.0,275,0.2,-inf
501,10000,150,1.5,3.0,275,0.15,-inf
501,10000,150,1.5,3.0,275,0.1,-inf
501,10000,150,1.5,3.0,250,0.5,-inf
501,10000,150,1.5,3.0,250,0.45,-inf
501,10000,150,1.5,3.0,250,0.4,-inf
501,10000,150,1.5,3.0,250,0.35,-inf
501,10000,150,1.5,3.0,250,0.3,-inf
501,10000,150,1.5,3.0,250,0.25,-inf
501,10000,150,1.5,3.0,250,0.2,-inf
501,10000,150,1.5,3.0,250,0.15,-inf
501,10000,150,1.5,3.0,250,0.1,-inf
501,10000,150,1.25,4.0,600,0.5,-inf
501,10000,150,1.5,3.0,300,0.1,-inf
501,10000,150,1.5,3.0,300,0.2,-inf
501,10000,150,1.25,4.0,600,0.4,-inf
501,10000,150,1.5,3.0,300,0.25,-inf
501,10000,150,1.5,3.0,350,0.3,-inf
501,10000,150,1.5,3.0,350,0.25,-inf
501,10000,150,1.5,3.0,350,0.2,-inf
501,10000,150,1.5,3.0,350,0.15,-inf
501,10000,150,1.5,3.0,350,0.1,-inf
501,10000,150,1.5,3.0,325,0.5,-inf
501,10000,150,1.5,3.0,325,0.45,-inf
501,10000,150,1.5,3.0,325,0.4,-inf
501,10000,150,1.5,3.0,325,0.35,-inf
501,10000,150,1.5,3.0,325,0.3,-inf
501,10000,150,1.5,3.0,325,0.25,-inf
501,10000,150,1.5,3.0,325,0.2,-inf
501,10000,150,1.5,3.0,325,0.15,-inf
501,10000,150,1.5,3.0,325,0.1,-inf
501,10000,150,1.5,3.0,300,0.5,-inf
501,10000,150,1.5,3.0,300,0.45,-inf
501,10000,150,1.5,3.0,300,0.4,-inf
501,10000,150,1.5,3.0,300,0.35,-inf
501,10000,150,1.5,3.0,300,0.3,-inf
501,10000,150,1.25,4.0,600,0.45,-inf
501,10000,150,1.25,4.0,600,0.35,-inf
501,10000,150,1.25,4.0,475,0.4,-inf
501,10000,150,1.25,4.0,550,0.1,-inf
501,10000,150,1.25,4.0,525,0.45,-inf
501,10000,150,1.25,4.0,525,0.4,-inf
501,10000,150,1.25,4.0,525,0.35,-inf
501,10000,150,1.25,4.0,525,0.3,-inf
501,10000,150,1.25,4.0,525,0.25,-inf
501,10000,150,1.25,4.0,525,0.2,-inf
501,10000,150,1.25,4.0,525,0.15,-inf
501,10000,150,1.25,4.0,525,0.1,-inf
501,10000,150,1.25,4.0,500,0.5,-inf
501,10000,150,1.25,4.0,500,0.45,-inf
501,10000,150,1.25,4.0,500,0.4,-inf
501,10000,150,1.25,4.0,500,0.35,-inf
501,10000,150,1.25,4.0,500,0.3,-inf
501,10000,150,1.25,4.0,500,0.25,-inf
501,10000,150,1.25,4.0,500,0.2,-inf
501,10000,150,1.25,4.0,500,0.15,-inf
501,10000,150,1.25,4.0,500,0.1,-inf
501,10000,150,1.25,4.0,475,0.5,-inf
