OU_LOOKBACK,RISK_AVERSION,POSITION_SIZE,score
350,0.2,10000,82.25494535523765
350,0.1,10000,80.73810814891974
350,0.25,10000,80.57538751623653
550,0.25,10000,80.3507052330454
600,0.25,10000,80.28000690309484
450,0.1,10000,79.7354107209623
550,0.3,10000,79.24344855622061
350,0.15000000000000002,10000,79.2024667733295
300,0.25,10000,78.91972003611912
400,0.25,10000,78.62542600064236
350,0.3,10000,78.48486115609562
400,0.3,10000,78.30140410197797
400,0.1,10000,77.74533109021314
450,0.25,10000,77.69846032474796
450,0.05,10000,77.3409442699149
550,0.2,10000,76.39772931715382
500,0.25,10000,76.37527151471954
300,0.2,10000,76.13567330911204
450,0.3,10000,75.97748742081174
600,0.2,10000,75.930494778297
400,0.2,10000,75.79470332853748
250,0.15000000000000002,10000,75.11493725136832
400,0.15000000000000002,10000,74.83248651552967
300,0.15000000000000002,10000,74.41598002176121
450,0.2,10000,73.46041228357892
600,0.3,10000,73.42421684159342
400,0.05,10000,73.17219384509576
300,0.3,10000,72.84436461440575
250,0.2,10000,72.29693330019876
500,0.2,10000,72.22673433778945
600,0.1,10000,72.17607822919842
600,0.15000000000000002,10000,72.007975812714
500,0.3,10000,72.0055951517799
450,0.15000000000000002,10000,71.52775283477297
500,0.05,10000,71.14827369875576
550,0.35000000000000003,10000,71.14517109893862
200,0.1,10000,70.76023901628915
500,0.1,10000,70.57985944514249
550,0.05,10000,70.50355751312162
250,0.05,10000,70.49986995982283
350,0.05,10000,69.98255116150938
250,0.25,10000,69.82297514959548
550,0.15000000000000002,10000,69.73622477292403
550,0.1,10000,69.59052168710295
600,0.05,10000,68.64429323452389
250,0.1,10000,68.44486439166795
300,0.1,10000,68.14046078429587
300,0.05,10000,68.11108864585356
500,0.15000000000000002,10000,66.93480948991636
600,0.35000000000000003,10000,66.53237053569362
200,0.05,10000,66.39993384296966
200,0.2,10000,64.98753442465176
550,0.4,10000,63.8539364420317
500,0.35000000000000003,10000,63.63901843575999
200,0.15000000000000002,10000,63.42052078926584
400,0.35000000000000003,10000,63.02463912209658
450,0.35000000000000003,10000,60.17440909608753
300,0.35000000000000003,10000,59.972707495989745
350,0.35000000000000003,10000,59.32990413559136
200,0.25,10000,59.14026028857945
400,0.4,10000,57.137376802830296
550,0.45,10000,57.09335254705002
500,0.4,10000,54.5530907089175
250,0.3,10000,53.20553646603439
600,0.4,10000,52.09684328314727
450,0.4,10000,51.736784444494056
600,0.45,10000,51.731040838555764
350,0.4,10000,50.88975189195246
200,0.3,10000,50.83161925812517
200,0.35000000000000003,10000,47.87341599060631
400,0.45,10000,47.714195607911996
250,0.35000000000000003,10000,47.27515831984982
300,0.4,10000,47.02755242841847
500,0.45,10000,45.887666895855645
150,0.1,10000,44.70204540408807
450,0.45,10000,44.31080542501127
350,0.45,10000,41.41524136796071
250,0.4,10000,39.88923349339564
150,0.2,10000,39.85706025440721
150,0.15000000000000002,10000,39.713188452902244
150,0.05,10000,38.87022506639957
300,0.45,10000,37.94525234631333
550,0.5,10000,37.725231388760974
250,0.5,10000,35.94585287500383
400,0.5,10000,35.35084515520311
200,0.4,10000,35.33599010723158
250,0.45,10000,34.41549061272644
150,0.25,10000,33.423437032914805
500,0.5,10000,31.834069177401076
250,0.55,10000,31.65850589410914
600,0.5,10000,30.917078568798644
200,0.45,10000,30.100504654227045
300,0.5,10000,30.020004066195817
350,0.5,10000,28.749054794073924
450,0.5,10000,27.051579435060045
300,0.55,10000,26.64378353508856
450,0.55,10000,26.46757064861771
200,0.5,10000,25.79593849692303
150,0.3,10000,25.39756916046931
550,0.55,10000,24.321765746706355
500,0.55,10000,24.280783431002853
600,0.55,10000,22.010331458364263
350,0.55,10000,21.1578651832733
450,0.6000000000000001,10000,20.932725508338187
400,0.55,10000,19.632098714547496
150,0.35000000000000003,10000,19.110631875254015
200,0.55,10000,17.31058866289149
250,0.6000000000000001,10000,16.74407387970105
300,0.6000000000000001,10000,16.27525131579314
400,0.6500000000000001,10000,14.122057124090126
400,0.6000000000000001,10000,12.899118281135742
350,0.6000000000000001,10000,12.892314710628838
600,0.6000000000000001,10000,10.130517940489721
500,0.6000000000000001,10000,9.51184115384476
350,0.6500000000000001,10000,8.881847209407368
150,0.4,10000,8.656453776824328
200,0.6000000000000001,10000,7.894767499381139
200,0.6500000000000001,10000,7.441531584960046
150,0.45,10000,7.058113196669119
550,0.6000000000000001,10000,6.698241389316724
500,0.6500000000000001,10000,5.741665184836712
150,0.6500000000000001,10000,5.304611463860731
450,0.6500000000000001,10000,4.936437624344226
100,0.3,10000,4.564161980231638
150,0.5,10000,3.829330751478615
600,0.6500000000000001,10000,3.2871510667519104
200,0.7000000000000001,10000,3.279660190318875
550,0.6500000000000001,10000,3.2238282058296406
250,0.6500000000000001,10000,3.0679493998382483
250,0.7000000000000001,10000,2.948487014475596
500,0.8,10000,2.7063343230634835
100,0.25,10000,2.213029150144571
400,0.7000000000000001,10000,2.026263548759026
150,0.55,10000,2.021482635442098
250,1.2500000000000002,10000,1.984144877356032
600,0.7000000000000001,10000,1.935851389516717
100,0.35000000000000003,10000,1.8188122729231466
