OU_LOOKBACK,RISK_AVERSION,POSITION_SIZE,score
200,1.05,10000,-2.3040164450921488
500,0.9000000000000001,10000,-2.361058345263185
350,1.1,10000,-2.4458190829581863
500,1.1500000000000001,10000,-2.456619071519091
600,1.1,10000,-2.5240025380823177
200,1.0,10000,-2.525399427484267
300,1.5000000000000002,10000,-2.5958541931183934
600,1.2000000000000002,10000,-2.605469694199731
300,1.4500000000000002,10000,-2.6205274031192385
200,1.4000000000000001,10000,-2.6258667096250043
500,0.8500000000000001,10000,-2.6391258442620273
300,1.05,10000,-2.6761067087639105
150,0.6000000000000001,10000,-2.678740862967498
300,1.1500000000000001,10000,-2.680791027925469
500,1.5000000000000002,10000,-2.6946007567577106
300,1.2500000000000002,10000,-2.701378272154476
300,1.3,10000,-2.701378272154476
600,1.05,10000,-2.7055423308128397
100,0.55,10000,-2.708529796446882
100,0.5,10000,-2.7141379381526463
450,1.2000000000000002,10000,-2.7464741955017367
350,0.9500000000000001,10000,-2.7740146527426184
550,1.2000000000000002,10000,-2.776470255695506
450,0.8500000000000001,10000,-2.7843174466482576
300,0.8500000000000001,10000,-2.8264880578558103
600,1.1500000000000001,10000,-2.846548297659266
550,1.1500000000000001,10000,-2.846548297659266
550,1.1,10000,-2.896749827437462
450,1.1500000000000001,10000,-2.932724326047154
300,0.9000000000000001,10000,-2.9328979028246653
600,1.5000000000000002,10000,-2.965336910220958
500,1.2000000000000002,10000,-2.9659724708542266
300,1.2000000000000002,10000,-2.967376777600343
600,1.0,10000,-2.9723456454038253
500,1.2500000000000002,10000,-2.981644509995719
550,1.3,10000,-2.981644509995719
600,1.3,10000,-2.981644509995719
600,1.2500000000000002,10000,-2.981644509995719
500,1.3,10000,-3.003602882469448
550,0.8,10000,-3.0501036236493864
550,1.5000000000000002,10000,-3.062356578238958
300,1.35,10000,-3.076001216810691
450,1.1,10000,-3.079046283451815
150,1.0,10000,-3.104869793284866
200,1.1,10000,-3.1266956946718043
400,1.0,10000,-3.156911826804187
450,1.3,10000,-3.1776761390193498
450,1.2500000000000002,10000,-3.1776761390193498
150,1.3,10000,-3.1804031018135923
500,0.9500000000000001,10000,-3.204147528826854
300,0.7500000000000001,10000,-3.207319705754138
450,0.9500000000000001,10000,-3.233727204337348
200,1.4500000000000002,10000,-3.382341812077371
200,1.5000000000000002,10000,-3.39301015594574
550,1.2500000000000002,10000,-3.3975154245176014
250,0.9000000000000001,10000,-3.4313937040923648
500,1.0,10000,-3.507473141398375
450,1.05,10000,-3.5369148180545995
450,1.0,10000,-3.5369148180545995
150,1.35,10000,-3.545313593528734
400,1.05,10000,-3.576049698321146
600,0.9500000000000001,10000,-3.608739356096049
450,1.5000000000000002,10000,-3.616332006612996
300,0.9500000000000001,10000,-3.657402074748827
400,1.2000000000000002,10000,-3.663879194930069
350,1.05,10000,-3.714666473136507
200,0.9500000000000001,10000,-3.77697164640772
400,1.1500000000000001,10000,-3.812613456109564
300,1.0,10000,-3.826805725505679
600,0.9000000000000001,10000,-3.8427197644406883
350,1.5000000000000002,10000,-3.857637283291445
500,1.4500000000000002,10000,-3.875283078003674
250,1.3,10000,-3.8875272716009155
500,1.4000000000000001,10000,-3.9123923668129654
350,1.4000000000000001,10000,-3.9334412270728354
400,1.5000000000000002,10000,-3.9349033278590184
450,0.9000000000000001,10000,-3.9650366620834276
300,1.1,10000,-3.9658090036445692
600,1.4000000000000001,10000,-4.076970887422412
550,1.4500000000000002,10000,-4.085234237669193
550,1.4000000000000001,10000,-4.085234237669193
550,1.35,10000,-4.085234237669193
600,1.35,10000,-4.085234237669193
500,1.35,10000,-4.103705419950554
600,1.4500000000000002,10000,-4.103705419950554
450,1.4000000000000001,10000,-4.121168096860791
250,0.8500000000000001,10000,-4.132501425758729
250,0.8,10000,-4.247404164480095
350,1.4500000000000002,10000,-4.281733044450306
400,1.4500000000000002,10000,-4.314386228347429
150,1.2500000000000002,10000,-4.3321111432174
150,1.05,10000,-4.347903612931539
450,1.35,10000,-4.351546952203229
550,0.8500000000000001,10000,-4.39212100428006
500,1.1,10000,-4.400584885728192
150,1.4000000000000001,10000,-4.423676471349955
350,1.35,10000,-4.486407052639828
450,1.4500000000000002,10000,-4.5030489154349365
150,0.7000000000000001,10000,-4.569039246636226
500,1.05,10000,-4.596398038915753
150,1.4500000000000002,10000,-4.651523087359433
350,1.0,10000,-4.66011522312575
150,1.2000000000000002,10000,-4.767648304456467
250,1.4000000000000001,10000,-4.788335220851755
250,1.35,10000,-4.852558421959486
550,1.05,10000,-4.85835502462754
550,1.0,10000,-4.971496389239727
450,0.8,10000,-5.0003356796637775
150,0.7500000000000001,10000,-5.01285404764451
250,1.4500000000000002,10000,-5.055353544797547
400,1.2500000000000002,10000,-5.084032935507719
400,1.3,10000,-5.084032935507719
150,1.1500000000000001,10000,-5.201191423856992
550,0.9000000000000001,10000,-5.31041472072251
200,1.1500000000000001,10000,-5.543804994828307
550,0.9500000000000001,10000,-5.703638927368733
200,1.3,10000,-5.7876746993766535
250,1.5000000000000002,10000,-5.850846884249237
200,1.2500000000000002,10000,-5.859425574286833
400,1.4000000000000001,10000,-6.090864745122403
400,1.35,10000,-6.23369667342722
150,1.1,10000,-6.401131763406591
150,1.5000000000000002,10000,-6.6958690523892574
100,0.6000000000000001,10000,-6.948803836988134
100,0.2,10000,-7.250944204603087
100,0.7000000000000001,10000,-7.255034202835343
100,0.7500000000000001,10000,-7.678212386740167
200,1.2000000000000002,10000,-7.952331043076832
100,0.6500000000000001,10000,-8.185307607554403
100,0.8,10000,-8.416302463616109
100,0.05,10000,-9.419720933119685
100,0.15000000000000002,10000,-9.967905290345854
100,0.8500000000000001,10000,-11.38318822579539
100,0.9000000000000001,10000,-13.367289179134566
100,0.9500000000000001,10000,-14.134891622773385
100,1.35,10000,-15.956223413028711
100,1.4000000000000001,10000,-16.868544935929528
100,1.3,10000,-17.518916364362052
100,1.4500000000000002,10000,-18.179750276065143
50,0.6500000000000001,10000,-18.396839928927704
100,1.5000000000000002,10000,-18.498148238328397
100,1.2500000000000002,10000,-18.5675355560817
100,1.05,10000,-19.295974547222414
100,1.1500000000000001,10000,-19.45825210520451
100,1.0,10000,-19.469602207894184
100,1.1,10000,-19.799104232597163
100,1.2000000000000002,10000,-20.622370837917693
50,0.7500000000000001,10000,-21.002317364642444
50,0.9000000000000001,10000,-21.735021716869447
50,0.8500000000000001,10000,-21.980697143808385
50,0.6000000000000001,10000,-22.10416273186562
50,0.7000000000000001,10000,-22.214985247448094
50,0.8,10000,-22.376188744018236
50,0.55,10000,-22.84634516239627
50,1.3,10000,-24.03658388029652
50,0.5,10000,-24.98541323900382
50,1.35,10000,-24.989649027069607
50,1.4000000000000001,10000,-25.632608316069906
50,0.9500000000000001,10000,-25.799347752913754
50,0.4,10000,-27.03683111028175
50,1.0,10000,-27.590955878208877
50,1.2500000000000002,10000,-27.769271659937463
50,1.4500000000000002,10000,-28.105752734874443
50,1.1,10000,-28.611201717600295
50,1.05,10000,-28.680736214551207
50,1.5000000000000002,10000,-28.751789784730747
50,0.35000000000000003,10000,-29.269330865596427
50,1.1500000000000001,10000,-29.383052935535932
50,0.45,10000,-29.654942191036262
50,1.2000000000000002,10000,-29.84602639070066
50,0.3,10000,-32.639155239228955
50,0.25,10000,-34.33875191901882
50,0.1,10000,-38.45909488245087
50,0.05,10000,-38.52349054431132
50,0.15000000000000002,10000,-39.979212651967295
50,0.2,10000,-40.05251712774551
