ADAPTIVE_START_DAY,ZSCORE_LOOKBACK,ENTRY_THRESHOLD,STOP_LOSS_THRESHOLD,POSITION_SIZE,score
601,150,0.6,3.75,10000,49.217638638012914
601,150,0.6,4.0,10000,49.217638638012914
601,150,0.6,3.5,10000,48.784074969943504
601,150,0.6,3.25,10000,48.711816790870806
601,150,0.6,3.0,10000,46.81066496259486
601,150,0.5,4.0,10000,45.94996835357457
601,150,0.5,3.75,10000,45.94996835357457
601,125,2.1,3.75,10000,45.719796951194866
601,125,2.1,4.0,10000,45.719796951194866
601,150,0.5,3.5,10000,45.5173416247376
601,150,0.5,3.25,10000,45.444554389607816
601,150,0.6,2.75,10000,45.3085696226051
601,125,2.1,3.5,10000,45.29045974656109
601,125,2.1,3.25,10000,44.67887911947285
601,150,0.5,3.0,10000,43.5445760569193
601,125,2.2,4.0,10000,43.35770227171339
601,125,2.2,3.75,10000,43.35770227171339
601,125,2.2,3.5,10000,42.929656426810126
601,125,2.2,3.25,10000,42.31918241334745
601,150,0.5,2.75,10000,42.24269568253141
601,125,2.1,3.0,10000,41.943367903988715
601,150,0.4,3.75,10000,41.91345090963205
601,150,0.4,4.0,10000,41.91345090963205
601,150,0.6,2.5,10000,41.79157590106205
601,150,1.6,3.75,10000,41.484182563683206
601,150,1.6,4.0,10000,41.484182563683206
601,150,0.4,3.5,10000,41.48150496030691
601,150,0.4,3.25,10000,41.412035912714146
601,150,1.6,3.5,10000,41.068262191098356
601,150,1.7000000000000002,4.0,10000,41.01565187369147
601,150,1.7000000000000002,3.75,10000,41.01565187369147
601,150,1.6,3.25,10000,40.98340708575726
601,125,2.0,3.75,10000,40.97168942412789
601,125,2.0,4.0,10000,40.97168942412789
601,150,0.7000000000000001,3.75,10000,40.79060351280099
601,150,0.7000000000000001,4.0,10000,40.79060351280099
601,150,1.7000000000000002,3.5,10000,40.59198636923609
601,125,2.0,3.5,10000,40.56242866386169
601,150,1.7000000000000002,3.25,10000,40.50831755339746
601,125,1.6,4.0,10000,40.4162713933675
601,125,1.6,3.75,10000,40.4162713933675
601,150,0.7000000000000001,3.5,10000,40.357896390801756
601,150,0.7000000000000001,3.25,10000,40.28932279502652
601,125,1.6,3.5,10000,40.026007647008484
601,125,2.0,3.25,10000,39.94140657475604
601,125,2.2,3.0,10000,39.615754749761976
601,150,0.4,3.0,10000,39.51095886345622
601,125,1.8000000000000003,3.75,10000,39.39579508122078
601,125,1.8000000000000003,4.0,10000,39.39579508122078
601,125,1.6,3.25,10000,39.386502672502125
601,150,0.30000000000000004,4.0,10000,39.33138341470974
601,150,0.30000000000000004,3.75,10000,39.33138341470974
601,150,1.6,3.0,10000,39.18457479127706
601,125,1.9000000000000001,3.75,10000,39.04358935311602
601,125,1.9000000000000001,4.0,10000,39.04358935311602
601,125,1.8000000000000003,3.5,10000,38.98366685825306
601,150,0.30000000000000004,3.5,10000,38.89670195593426
601,150,0.30000000000000004,3.25,10000,38.824864730893516
601,150,0.5,2.5,10000,38.76604880616115
601,150,1.7000000000000002,3.0,10000,38.715312173154
601,125,1.9000000000000001,3.5,10000,38.63244333596895
601,125,1.6,3.0,10000,38.59701554504852
601,150,1.8000000000000003,3.75,10000,38.445193283736984
601,150,1.8000000000000003,4.0,10000,38.445193283736984
601,150,0.7000000000000001,3.0,10000,38.396099926962975
601,125,1.8000000000000003,3.25,10000,38.383574164619404
601,125,1.7000000000000002,3.75,10000,38.266366330347054
601,125,1.7000000000000002,4.0,10000,38.266366330347054
601,150,0.4,2.75,10000,38.22117003654104
601,125,1.5000000000000002,3.75,10000,38.041188276493
601,125,1.5000000000000002,4.0,10000,38.041188276493
601,125,1.9000000000000001,3.25,10000,38.03469227310971
601,150,1.8000000000000003,3.5,10000,38.01666112103544
601,150,0.8,3.75,10000,37.944678580373385
601,150,0.8,4.0,10000,37.944678580373385
601,150,1.8000000000000003,3.25,10000,37.93970646090169
601,125,1.7000000000000002,3.5,10000,37.85795022968807
601,150,1.6,2.75,10000,37.77581768545096
601,150,1.5000000000000002,4.0,10000,37.76674722289532
601,150,1.5000000000000002,3.75,10000,37.76674722289532
601,125,1.5000000000000002,3.5,10000,37.64949052520339
601,125,1.8000000000000003,3.0,10000,37.62017984187365
601,150,0.8,3.5,10000,37.518912565584166
601,125,0.9,3.75,10000,37.458324710338125
601,125,0.9,4.0,10000,37.458324710338125
601,150,0.8,3.25,10000,37.43510679644145
601,150,1.5000000000000002,3.5,10000,37.35146793835067
601,150,1.7000000000000002,2.75,10000,37.30474878720686
601,150,1.9000000000000001,3.75,10000,37.29745526145557
601,150,1.9000000000000001,4.0,10000,37.29745526145557
601,125,1.7000000000000002,3.25,10000,37.24450124371627
601,150,1.5000000000000002,3.25,10000,37.21987366993016
601,125,2.0,3.0,10000,37.212675227233504
601,125,1.9000000000000001,3.0,10000,37.141464395050704
601,125,0.6,4.0,10000,37.13108914005412
601,125,0.6,3.75,10000,37.13108914005412
601,125,0.9,3.5,10000,37.065012837259076
601,125,2.1,2.75,10000,37.060665368430975
601,125,1.5000000000000002,3.25,10000,36.92129672373728
601,150,0.30000000000000004,3.0,10000,36.91850282125078
601,150,1.9000000000000001,3.5,10000,36.872884674511155
