HEDGE_ESTIMATOR,ADAPTIVE_START_DAY,POSITION_SIZE,OPTIMIZATION_TARGET,STATIC_PARAMS.HEDGE_ESTIMATOR,STATIC_PARAMS.ZSCORE_LOOKBACK,STATIC_PARAMS.ENTRY_THRESHOLD,STATIC_PARAMS.STOP_LOSS_THRESHOLD,STATIC_PARAMS.POSITION_SIZE,STATIC_PARAMS.ADAPTIVE_START_DAY,ADAPTIVE_PARAMS.HEDGE_ESTIMATOR,ADAPTIVE_PARAMS.ZSCORE_LOOKBACK,ADAPTIVE_PARAMS.ENTRY_THRESHOLD,ADAPTIVE_PARAMS.STOP_LOSS_THRESHOLD,ADAPTIVE_PARAMS.POSITION_SIZE,ADAPTIVE_PARAMS.ADAPTIVE_START_DAY,score
ridge,501,10000,STATIC,ridge,130,2.0,3.5,10000,501,ridge,130,2.0,3.5,10000,501,43.451037137104436
ols,501,10000,STATIC,ols,130,2.0,3.5,10000,501,ols,130,2.0,3.5,10000,501,43.44996897909953
bayesian,501,10000,STATIC,bayesian,150,0.5,4.0,10000,501,bayesian,150,0.5,4.0,10000,501,43.445483983411464
bayesian,501,10000,STATIC,bayesian,130,1.75,4.0,10000,501,bayesian,130,1.75,4.0,10000,501,43.37381108555442
ridge,501,10000,STATIC,ridge,140,1.75,4.0,10000,501,ridge,140,1.75,4.0,10000,501,43.32006494464426
ridge,501,10000,STATIC,ridge,140,1.75,3.5,10000,501,ridge,140,1.75,3.5,10000,501,43.32006494464426
ols,501,10000,STATIC,ols,140,1.75,4.0,10000,501,ols,140,1.75,4.0,10000,501,43.316186233628954
ols,501,10000,STATIC,ols,140,1.75,3.5,10000,501,ols,140,1.75,3.5,10000,501,43.316186233628954
ridge,501,10000,STATIC,ridge,130,2.25,4.0,10000,501,ridge,130,2.25,4.0,10000,501,43.30727634352427
ols,501,10000,STATIC,ols,130,2.25,4.0,10000,501,ols,130,2.25,4.0,10000,501,43.30642241390849
bayesian,501,10000,STATIC,bayesian,140,1.75,4.0,10000,501,bayesian,140,1.75,4.0,10000,501,43.272961870346705
