ADAPTIVE_START_DAY,ZSCORE_LOOKBACK,ENTRY_THRESHOLD,STOP_LOSS_THRESHOLD,POSITION_SIZE,score
501,130,1.5000000000000002,3.25,10000,38.57664822866998
501,130,1.5000000000000002,3.0,10000,38.19935164140061
501,130,0.8,3.75,10000,38.198158558265256
501,130,0.8,4.0,10000,38.198158558265256
501,130,0.7000000000000001,3.75,10000,37.96695875696421
501,130,0.7000000000000001,4.0,10000,37.96695875696421
501,130,0.9,4.0,10000,37.96670539209848
501,130,0.9,3.75,10000,37.96670539209848
501,130,1.8000000000000003,2.5,10000,37.928758571621174
501,130,0.8,3.5,10000,37.80341802677667
501,130,2.2,3.0,10000,37.77940833044248
501,130,0.9,3.5,10000,37.57395046737221
501,130,0.7000000000000001,3.5,10000,37.571136415607675
501,130,1.4000000000000001,3.25,10000,37.5410218840584
501,130,1.5000000000000002,2.75,10000,37.29069383304403
501,130,1.4000000000000001,3.0,10000,37.12370889039184
501,130,0.5,4.0,10000,36.769992381290564
501,130,0.5,3.75,10000,36.769992381290564
501,130,0.6,4.0,10000,36.396535218410044
501,130,0.6,3.75,10000,36.396535218410044
501,130,0.5,3.5,10000,36.37661358392326
501,130,1.4000000000000001,2.75,10000,36.28086583856835
501,130,2.0,2.25,10000,36.21437820644535
501,130,1.7000000000000002,2.5,10000,36.10395384267187
501,100,0.2,3.5,10000,36.0153018140889
501,100,0.2,4.0,10000,36.0153018140889
501,100,0.2,3.75,10000,36.0153018140889
501,130,0.6,3.5,10000,36.00397415234441
501,130,1.9000000000000001,2.5,10000,35.89064174093757
501,130,0.8,3.25,10000,35.81916798148037
501,100,0.2,3.25,10000,35.66535827032135
501,130,2.0,2.5,10000,35.641461776004064
501,130,0.9,3.25,10000,35.58944406976102
501,130,0.7000000000000001,3.25,10000,35.58109863334968
501,130,0.8,3.0,10000,35.56508158984246
501,130,2.3000000000000003,4.0,10000,35.468661848118714
501,130,2.3000000000000003,3.75,10000,35.468661848118714
501,130,0.7000000000000001,3.0,10000,35.33732198045674
501,130,0.9,3.0,10000,35.3365672346172
501,130,1.6,2.5,10000,35.077425059131215
501,130,2.3000000000000003,3.5,10000,35.045814587674464
501,100,0.1,4.0,10000,34.93299481268843
501,100,0.1,3.75,10000,34.93299481268843
501,100,0.1,3.5,10000,34.93299481268843
501,130,2.2,2.5,10000,34.703952928374164
501,100,0.1,3.25,10000,34.582164556925434
501,130,0.8,2.75,10000,34.54611545432137
501,130,2.2,2.75,10000,34.37308598560167
501,130,0.9,2.75,10000,34.319064544181046
501,130,0.7000000000000001,2.75,10000,34.31743473306423
501,130,0.5,3.25,10000,34.30630635222831
501,130,0.5,3.0,10000,34.058448884663086
501,130,0.6,3.25,10000,33.931038708260125
501,130,0.6,3.0,10000,33.70274212333518
501,100,0.4,3.5,10000,33.505922887146085
501,100,0.4,3.75,10000,33.505922887146085
501,100,0.4,4.0,10000,33.505922887146085
501,100,0.2,3.0,10000,33.28933718341875
501,130,2.3000000000000003,3.25,10000,33.18702035442357
501,100,0.4,3.25,10000,33.13594951199072
501,130,1.3000000000000003,4.0,10000,33.101244840076326
501,130,1.3000000000000003,3.75,10000,33.101244840076326
501,130,0.5,2.75,10000,33.01833741248564
501,130,2.1,2.5,10000,32.99579052134536
501,130,0.4,3.75,10000,32.8403808852145
