ADAPTIVE_START_DAY,POSITION_SIZE,STATIC_PARAMS.ZSCORE_LOOKBACK,STATIC_PARAMS.ENTRY_THRESHOLD,STATIC_PARAMS.STOP_LOSS_THRESHOLD,ADAPTIVE_PARAMS.ZSCORE_LOOKBACK,ADAPTIVE_PARAMS.ENTRY_THRESHOLD,ADAPTIVE_PARAMS.STOP_LOSS_THRESHOLD,score
501,10000,120,1.0,4.0,110,1.25,3.0,30.8159712045044
501,10000,120,1.0,3.5,110,1.25,3.0,30.8159712045044
600,10000,120,0.5,3.5,110,1.25,3.5,30.757320003317766
600,10000,120,0.5,4.0,110,1.25,3.5,30.618511321497323
501,10000,120,0.5,4.0,90,0.75,3.5,30.59700663771759
501,10000,120,0.5,3.5,90,0.75,3.5,30.59700663771759
600,10000,120,0.5,3.5,110,1.25,3.0,30.524769406680228
501,10000,150,1.0,4.0,90,0.75,3.5,30.475993546476957
501,10000,150,1.0,3.5,90,0.75,3.5,30.39165153594778
600,10000,120,0.5,4.0,110,1.25,3.0,30.385964776479433
400,10000,150,1.0,4.0,90,0.75,3.0,30.23139430008051
400,10000,150,1.0,3.5,90,0.75,3.0,30.23139430008051
501,10000,150,0.5,4.0,110,1.25,3.5,30.15923758848225
501,10000,150,0.5,3.5,110,1.25,3.5,30.07495010780829
400,10000,150,1.0,3.5,90,1.25,3.5,30.07411236606186
400,10000,150,1.0,4.0,90,1.25,3.5,30.07411236606186
600,10000,150,1.0,3.5,110,1.25,3.5,29.791209500416606
600,10000,150,1.0,4.0,110,1.25,3.5,29.737096288282913
501,10000,120,0.5,3.5,90,0.75,3.0,29.668520421455156
501,10000,120,0.5,4.0,90,0.75,3.0,29.668520421455156
501,10000,120,0.5,3.5,90,1.25,3.5,29.616627825961146
501,10000,120,0.5,4.0,90,1.25,3.5,29.616627825961146
600,10000,150,1.0,3.5,110,1.25,3.0,29.559617953555602
501,10000,150,1.0,4.0,90,0.75,3.0,29.548000287430483
600,10000,150,1.0,4.0,110,1.25,3.0,29.50550490619144
501,10000,150,1.0,3.5,90,0.75,3.0,29.463678931318505
501,10000,150,1.0,4.0,90,1.25,3.5,29.281954443516604
501,10000,150,0.5,4.0,110,1.25,3.0,29.2617592161077
501,10000,150,1.0,3.5,90,1.25,3.5,29.1975484832494
501,10000,150,0.5,3.5,110,1.25,3.0,29.17748444088646
400,10000,120,0.5,3.5,90,1.25,3.0,29.062736120156643
400,10000,120,0.5,4.0,90,1.25,3.0,29.062736120156643
600,10000,120,1.0,3.5,110,1.25,3.5,28.838656271951514
400,10000,120,1.0,3.5,90,0.75,3.5,28.78095049028203
400,10000,120,1.0,4.0,90,0.75,3.5,28.78095049028203
600,10000,120,0.5,3.5,90,0.75,3.5,28.752031311933663
600,10000,120,1.0,4.0,110,1.25,3.5,28.70002488956196
501,10000,120,0.5,4.0,90,1.25,3.0,28.69920023657867
501,10000,120,0.5,3.5,90,1.25,3.0,28.69920023657867
600,10000,120,0.5,4.0,90,0.75,3.5,28.613615626192775
600,10000,120,1.0,3.5,110,1.25,3.0,28.607260608184887
600,10000,120,1.0,4.0,110,1.25,3.0,28.468633187026683
501,10000,150,1.0,4.0,90,1.25,3.0,28.36571779619382
501,10000,150,1.0,3.5,90,1.25,3.0,28.281331419410606
600,10000,120,0.5,3.5,90,0.75,3.0,28.270238768510616
600,10000,120,0.5,3.5,90,1.25,3.5,28.26418848644046
400,10000,150,0.5,3.5,90,0.75,3.5,28.255619227957077
400,10000,150,0.5,4.0,90,0.75,3.5,28.255619227957077
600,10000,120,0.5,4.0,90,0.75,3.0,28.131844932983718
600,10000,120,0.5,4.0,90,1.25,3.5,28.12565073267291
400,10000,150,1.0,4.0,90,1.25,3.0,27.943557506930787
400,10000,150,1.0,3.5,90,1.25,3.0,27.943557506930787
600,10000,120,0.5,3.5,90,1.25,3.0,27.79027860720597
600,10000,150,1.0,3.5,90,0.75,3.5,27.734170103048285
600,10000,150,1.0,4.0,90,0.75,3.5,27.680321694408704
600,10000,120,0.5,4.0,90,1.25,3.0,27.65176031705954
600,10000,150,1.0,3.5,90,1.25,3.5,27.276808949257045
600,10000,150,1.0,3.5,90,0.75,3.0,27.251682208206788
600,10000,150,1.0,4.0,90,1.25,3.5,27.222864947462533
600,10000,150,1.0,4.0,90,0.75,3.0,27.197844133605393
600,10000,150,0.5,3.5,110,0.75,3.5,27.170499955835822
600,10000,150,0.5,4.0,110,0.75,3.5,27.115120342666735
600,10000,150,0.5,3.5,110,0.75,3.0,26.982081166973522
501,10000,120,1.0,4.0,90,0.75,3.5,26.939857864226795
501,10000,120,1.0,3.5,90,0.75,3.5,26.939857864226795
600,10000,150,0.5,4.0,110,0.75,3.0,26.926702186100762
600,10000,150,1.0,3.5,90,1.25,3.0,26.802642372271208
600,10000,120,1.0,3.5,90,0.75,3.5,26.773155431742303
600,10000,150,1.0,4.0,90,1.25,3.0,26.74870701206551
600,10000,120,1.0,4.0,90,0.75,3.5,26.634964522425534
400,10000,120,1.0,3.5,90,0.75,3.0,26.590692035159684
400,10000,120,1.0,4.0,90,0.75,3.0,26.590692035159684
400,10000,120,1.0,4.0,90,1.25,3.5,26.4439326695093
400,10000,120,1.0,3.5,90,1.25,3.5,26.4439326695093
600,10000,120,1.0,3.5,90,1.25,3.5,26.319891750667487
501,10000,150,0.5,4.0,90,0.75,3.5,26.292115921538375
600,10000,120,1.0,3.5,90,0.75,3.0,26.2906762679738
501,10000,150,0.5,3.5,90,0.75,3.5,26.208051058575194
600,10000,120,1.0,4.0,90,1.25,3.5,26.18156106065939
600,10000,120,1.0,4.0,90,0.75,3.0,26.15250876007361
400,10000,150,0.5,3.5,90,0.75,3.0,26.06119806869505
400,10000,150,0.5,4.0,90,0.75,3.0,26.06119806869505
501,10000,120,1.0,4.0,90,0.75,3.0,26.012821974684613
501,10000,120,1.0,3.5,90,0.75,3.0,26.012821974684613
501,10000,120,1.0,4.0,90,1.25,3.5,26.002994694684247
501,10000,120,1.0,3.5,90,1.25,3.5,26.002994694684247
400,10000,150,0.5,4.0,90,1.25,3.5,25.85793606570131
400,10000,150,0.5,3.5,90,1.25,3.5,25.85793606570131
600,10000,120,1.0,3.5,90,1.25,3.0,25.8457978806847
600,10000,120,1.0,4.0,90,1.25,3.0,25.70748796577564
501,10000,150,0.5,4.0,90,0.75,3.0,25.3646771645204
501,10000,150,0.5,3.5,90,0.75,3.0,25.280631872860894
501,10000,120,1.0,4.0,90,1.25,3.0,25.087677595328266
501,10000,120,1.0,3.5,90,1.25,3.0,25.087677595328266
501,10000,150,0.5,4.0,90,1.25,3.5,24.749183801020962
501,10000,150,0.5,3.5,90,1.25,3.5,24.66507850335141
400,10000,120,1.0,3.5,90,1.25,3.0,24.316430264871308
400,10000,120,1.0,4.0,90,1.25,3.0,24.316430264871308
501,10000,150,0.5,4.0,90,1.25,3.0,23.83296851989934
501,10000,150,0.5,3.5,90,1.25,3.0,23.748881877152044
400,10000,150,0.5,4.0,90,1.25,3.0,23.726120901951795
400,10000,150,0.5,3.5,90,1.25,3.0,23.726120901951795
600,10000,150,0.5,3.5,110,1.25,3.5,23.722814636104076
600,10000,150,0.5,4.0,110,1.25,3.5,23.66726494746623
600,10000,150,0.5,3.5,110,1.25,3.0,23.49062554851605
600,10000,150,0.5,4.0,110,1.25,3.0,23.435075660241374
600,10000,150,0.5,3.5,90,0.75,3.5,21.934128144108563
600,10000,150,0.5,4.0,90,0.75,3.5,21.87885041068462
600,10000,150,0.5,3.5,90,0.75,3.0,21.453268626179018
600,10000,150,0.5,3.5,90,1.25,3.5,21.44547139731951
600,10000,150,0.5,4.0,90,0.75,3.0,21.39800094151324
600,10000,150,0.5,4.0,90,1.25,3.5,21.390093518645102
600,10000,150,0.5,3.5,90,1.25,3.0,20.972449626888626
600,10000,150,0.5,4.0,90,1.25,3.0,20.917079999567186
