ZSCORE_LOOKBACK,ENTRY_THRESHOLD,STOP_LOSS_THRESHOLD,POSITION_SIZE,score
90,1.25,3.5,10000,8.022317566852621
150,2.25,2.5,10000,7.974548745722309
120,2.5,3.0,10000,7.751778070261192
150,2.0,2.5,10000,7.577942127952795
150,0.5,4.0,10000,6.9429542843361745
90,1.75,3.0,10000,6.820334440064954
120,0.75,4.0,10000,6.67008529922321
120,0.75,3.5,10000,6.67008529922321
150,0.5,3.5,10000,6.607985703942603
150,1.0,4.0,10000,6.190781689241504
150,1.0,3.5,10000,5.864517803614092
90,2.0,3.0,10000,5.563542320614474
120,2.25,2.5,10000,5.533167206971946
150,1.25,4.0,10000,5.431104544979121
180,1.5,4.0,10000,5.430924392239824
180,1.5,3.5,10000,5.223361038022752
150,1.25,3.5,10000,5.105131565470693
180,1.75,2.5,10000,4.998746929541106
150,0.5,3.0,10000,4.9043921328242845
180,2.25,4.0,10000,4.891250262516607
180,1.5,3.0,10000,4.846553726938716
90,1.5,3.0,10000,4.840599650008215
180,0.5,4.0,10000,4.563787715563798
120,0.75,3.0,10000,4.513130396156761
180,2.25,3.5,10000,4.502258888467047
120,0.5,2.5,10000,4.4858987270879425
90,1.25,3.0,10000,4.4688829830351295
120,1.0,4.0,10000,4.435268689877347
120,1.0,3.5,10000,4.435268689877347
180,0.5,3.5,10000,4.346324276764456
150,1.0,3.0,10000,4.261786470964267
180,2.25,3.0,10000,4.174547671152535
150,1.5,2.5,10000,4.033740647883008
180,0.5,3.0,10000,3.828925700826453
90,0.75,4.0,10000,3.732740254887112
150,1.25,3.0,10000,3.541186033521541
150,2.5,2.5,10000,3.531149100057604
90,0.75,3.5,10000,3.3094664157897142
90,2.0,2.5,10000,3.0510223675740953
90,1.75,2.5,10000,2.8988059828194714
90,1.5,2.5,10000,2.4203002066299604
90,1.25,2.5,10000,2.3537955394278356
120,1.0,3.0,10000,2.3059903592495203
120,2.5,2.5,10000,1.8792639030421086
180,0.75,4.0,10000,1.5283558774247652
150,0.75,2.5,10000,1.461714209130541
180,0.75,3.5,10000,1.3169242676581945
180,1.0,4.0,10000,0.831342334706612
180,0.75,3.0,10000,0.8115759127993627
180,1.0,3.5,10000,0.6268342835854597
180,1.25,4.0,10000,0.36616673435609215
90,1.0,4.0,10000,0.3449013216083827
180,1.25,3.5,10000,0.1617020807654086
180,1.0,3.0,10000,0.13797894171845826
60,2.5,4.0,10000,0.0370955070447998
90,1.0,3.5,10000,-0.07796162303061038
60,2.5,3.5,10000,-0.08469664563364177
90,0.5,4.0,10000,-0.15529669455077055
90,0.75,3.0,10000,-0.2982980538668585
180,1.25,3.0,10000,-0.3227266533968347
90,0.5,3.5,10000,-0.5306854517311166
180,1.5,2.5,10000,-0.5823695277311174
180,2.5,4.0,10000,-0.8641534541448053
60,2.5,3.0,10000,-0.8994883951115185
120,0.75,2.5,10000,-1.2551426193505222
180,2.5,3.5,10000,-1.2581332857802323
180,2.5,3.0,10000,-1.5760938212325684
180,0.5,2.5,10000,-1.602092268630507
60,2.25,4.0,10000,-2.139976662106207
60,2.25,3.5,10000,-2.2696035294676093
90,0.75,2.5,10000,-2.3604378486077238
90,2.5,4.0,10000,-2.4176440298835935
180,2.25,2.5,10000,-2.4529091592136183
