ZSCORE_LOOKBACK,ENTRY_THRESHOLD,STOP_LOSS_THRESHOLD,score
100,1.0,3.0,44.77408469071001
120,2.25,4.0,44.584992437563805
120,2.25,3.5,44.584992437563805
130,0.25,2.5,44.45711730409834
110,2.0,2.5,44.4083786342308
110,1.0,2.5,44.23033253728001
130,1.75,2.5,44.093235875040975
150,0.5,2.5,43.971551652056235
100,0.25,4.0,43.754299209542474
100,0.25,3.5,43.754299209542474
100,1.25,2.5,43.556189305859604
110,2.25,3.0,43.281941889869714
130,1.25,2.5,43.25711620867105
120,0.25,2.5,43.178841287821214
120,2.25,3.0,43.169309220920965
100,0.5,3.0,43.03422433673979
150,1.25,4.0,43.03208929855357
150,1.25,3.5,43.03208929855357
130,0.5,2.5,42.84876705998116
80,0.75,2.5,42.80483044516801
150,0.75,2.5,42.799481842362894
90,1.0,3.5,42.65496482710072
90,1.0,4.0,42.65496482710072
150,1.25,3.0,42.617756398067726
100,1.5,2.5,42.55488235174376
80,1.0,4.0,42.54266901922905
80,1.0,3.5,42.54266901922905
70,1.0,3.5,42.483902469879496
70,1.0,4.0,42.483902469879496
150,1.0,2.5,42.418180566528335
90,0.75,4.0,42.39327982034039
90,0.75,3.5,42.39327982034039
100,2.25,4.0,42.35589347943119
100,2.25,3.5,42.35589347943119
100,0.25,3.0,42.24423060349678
70,1.25,3.5,42.113776709548006
70,1.25,4.0,42.113776709548006
90,1.25,3.5,42.00066156860512
90,1.25,4.0,42.00066156860512
70,1.5,4.0,41.50970787940984
70,1.5,3.5,41.50970787940984
90,1.75,2.5,41.506961878779286
70,1.0,3.0,41.314644748149405
130,2.25,4.0,41.30553321460119
130,2.25,3.5,41.30553321460119
100,2.0,2.5,41.28011093608149
100,0.75,2.5,41.15662505768504
70,1.25,3.0,40.95177937232469
90,1.5,4.0,40.91857415812585
90,1.5,3.5,40.91857415812585
110,0.25,2.5,40.88493713589217
90,1.0,3.0,40.44121579885285
90,0.75,3.0,40.15838130270523
80,1.0,3.0,40.09740326669991
130,2.25,3.0,40.08232352270085
