HEDGE_ESTIMATOR,ADAPTIVE_START_DAY,POSITION_SIZE,OPTIMIZATION_TARGET,STATIC_PARAMS.HEDGE_ESTIMATOR,STATIC_PARAMS.ZSCORE_LOOKBACK,STATIC_PARAMS.ENTRY_THRESHOLD,STATIC_PARAMS.STOP_LOSS_THRESHOLD,STATIC_PARAMS.POSITION_SIZE,STATIC_PARAMS.ADAPTIVE_START_DAY,ADAPTIVE_PARAMS.HEDGE_ESTIMATOR,ADAPTIVE_PARAMS.ZSCORE_LOOKBACK,ADAPTIVE_PARAMS.ENTRY_THRESHOLD,ADAPTIVE_PARAMS.STOP_LOSS_THRESHOLD,ADAPTIVE_PARAMS.POSITION_SIZE,ADAPTIVE_PARAMS.ADAPTIVE_START_DAY,score
2sls,501,10000,STATIC,2sls,130,1.5,4.0,10000,501,2sls,130,1.5,4.0,10000,501,38.63177991421764
2sls,501,10000,STATIC,2sls,130,1.5,3.5,10000,501,2sls,130,1.5,3.5,10000,501,38.249803587837334
2sls,501,10000,STATIC,2sls,150,0.75,3.0,10000,501,2sls,150,0.75,3.0,10000,501,38.11410667944278
2sls,501,10000,STATIC,2sls,120,2.0,4.0,10000,501,2sls,120,2.0,4.0,10000,501,38.087363431752166
ols,501,10000,STATIC,ols,150,0.5,2.5,10000,501,ols,150,0.5,2.5,10000,501,37.88802920324371
2sls,501,10000,STATIC,2sls,140,1.5,4.0,10000,501,2sls,140,1.5,4.0,10000,501,37.77447682605268
2sls,501,10000,STATIC,2sls,140,1.5,3.5,10000,501,2sls,140,1.5,3.5,10000,501,37.77447682605268
2sls,501,10000,STATIC,2sls,140,0.5,3.5,10000,501,2sls,140,0.5,3.5,10000,501,37.73523678392479
2sls,501,10000,STATIC,2sls,140,0.5,4.0,10000,501,2sls,140,0.5,4.0,10000,501,37.73523678392479
ols,501,10000,STATIC,ols,120,2.0,4.0,10000,501,ols,120,2.0,4.0,10000,501,37.710357008301
2sls,501,10000,STATIC,2sls,120,2.0,3.5,10000,501,2sls,120,2.0,3.5,10000,501,37.69101934158658
2sls,501,10000,STATIC,2sls,130,2.0,3.0,10000,501,2sls,130,2.0,3.0,10000,501,37.673097340138966
ols,501,10000,STATIC,ols,140,2.0,4.0,10000,501,ols,140,2.0,4.0,10000,501,37.46583657024553
ols,501,10000,STATIC,ols,140,2.0,3.5,10000,501,ols,140,2.0,3.5,10000,501,37.46583657024553
2sls,501,10000,STATIC,2sls,140,0.75,3.0,10000,501,2sls,140,0.75,3.0,10000,501,37.421256879126844
ols,501,10000,STATIC,ols,120,2.0,3.5,10000,501,ols,120,2.0,3.5,10000,501,37.29882651372188
ols,501,10000,STATIC,ols,140,1.5,3.0,10000,501,ols,140,1.5,3.0,10000,501,37.24402300335437
ols,501,10000,STATIC,ols,150,1.5,4.0,10000,501,ols,150,1.5,4.0,10000,501,37.17911393664711
ols,501,10000,STATIC,ols,130,1.5,3.0,10000,501,ols,130,1.5,3.0,10000,501,37.16997901286038
2sls,501,10000,STATIC,2sls,140,2.0,4.0,10000,501,2sls,140,2.0,4.0,10000,501,37.11260946281668
2sls,501,10000,STATIC,2sls,140,2.0,3.5,10000,501,2sls,140,2.0,3.5,10000,501,37.11260946281668
2sls,501,10000,STATIC,2sls,150,1.5,4.0,10000,501,2sls,150,1.5,4.0,10000,501,36.950688964669055
ols,501,10000,STATIC,ols,130,2.25,2.5,10000,501,ols,130,2.25,2.5,10000,501,36.90531205832747
ols,501,10000,STATIC,ols,150,1.5,3.5,10000,501,ols,150,1.5,3.5,10000,501,36.76272633157012
ols,501,10000,STATIC,ols,140,0.75,3.0,10000,501,ols,140,0.75,3.0,10000,501,36.598332907834894
2sls,501,10000,STATIC,2sls,150,0.5,2.5,10000,501,2sls,150,0.5,2.5,10000,501,36.57839383139762
2sls,501,10000,STATIC,2sls,150,1.5,3.5,10000,501,2sls,150,1.5,3.5,10000,501,36.536645966862366
2sls,501,10000,STATIC,2sls,150,1.25,4.0,10000,501,2sls,150,1.25,4.0,10000,501,36.351404555767175
ols,501,10000,STATIC,ols,140,0.5,4.0,10000,501,ols,140,0.5,4.0,10000,501,36.247900776219105
ols,501,10000,STATIC,ols,140,0.5,3.5,10000,501,ols,140,0.5,3.5,10000,501,36.247900776219105
ols,501,10000,STATIC,ols,130,0.5,4.0,10000,501,ols,130,0.5,4.0,10000,501,36.2213235757354
ols,501,10000,STATIC,ols,120,1.75,4.0,10000,501,ols,120,1.75,4.0,10000,501,36.06181333792968
2sls,501,10000,STATIC,2sls,120,1.75,4.0,10000,501,2sls,120,1.75,4.0,10000,501,36.05124762411424
2sls,501,10000,STATIC,2sls,130,1.5,3.0,10000,501,2sls,130,1.5,3.0,10000,501,35.9441375459641
2sls,501,10000,STATIC,2sls,150,1.25,3.5,10000,501,2sls,150,1.25,3.5,10000,501,35.931032924655185
ols,501,10000,STATIC,ols,130,0.5,3.5,10000,501,ols,130,0.5,3.5,10000,501,35.826805550568025
2sls,501,10000,STATIC,2sls,120,2.0,3.0,10000,501,2sls,120,2.0,3.0,10000,501,35.754676454977
2sls,501,10000,STATIC,2sls,120,1.75,3.5,10000,501,2sls,120,1.75,3.5,10000,501,35.65749930914666
ols,501,10000,STATIC,ols,120,1.75,3.5,10000,501,ols,120,1.75,3.5,10000,501,35.65290715607076
2sls,501,10000,STATIC,2sls,130,0.5,4.0,10000,501,2sls,130,0.5,4.0,10000,501,35.63945244937193
2sls,501,10000,STATIC,2sls,130,1.75,2.5,10000,501,2sls,130,1.75,2.5,10000,501,35.471568747467884
ols,501,10000,STATIC,ols,140,2.0,3.0,10000,501,ols,140,2.0,3.0,10000,501,35.38893323085976
ols,501,10000,STATIC,ols,120,2.0,3.0,10000,501,ols,120,2.0,3.0,10000,501,35.35529658832632
2sls,501,10000,STATIC,2sls,140,1.5,3.0,10000,501,2sls,140,1.5,3.0,10000,501,35.26353737600088
2sls,501,10000,STATIC,2sls,130,0.5,3.5,10000,501,2sls,130,0.5,3.5,10000,501,35.25971615956407
2sls,501,10000,STATIC,2sls,140,0.5,3.0,10000,501,2sls,140,0.5,3.0,10000,501,35.07658107529759
ols,501,10000,STATIC,ols,150,1.5,3.0,10000,501,ols,150,1.5,3.0,10000,501,34.80538475617057
ols,501,10000,STATIC,ols,150,0.75,2.5,10000,501,ols,150,0.75,2.5,10000,501,34.803529159382386
ols,501,10000,STATIC,ols,150,1.75,2.5,10000,501,ols,150,1.75,2.5,10000,501,34.79882288981429
2sls,501,10000,STATIC,2sls,150,1.75,2.5,10000,501,2sls,150,1.75,2.5,10000,501,34.688464649509726
2sls,501,10000,STATIC,2sls,120,2.25,4.0,10000,501,2sls,120,2.25,4.0,10000,501,34.663814161913294
2sls,501,10000,STATIC,2sls,140,2.0,3.0,10000,501,2sls,140,2.0,3.0,10000,501,34.662787335143136
2sls,501,10000,STATIC,2sls,150,1.5,3.0,10000,501,2sls,150,1.5,3.0,10000,501,34.57389201687145
ols,501,10000,STATIC,ols,130,2.0,2.5,10000,501,ols,130,2.0,2.5,10000,501,34.491602763730214
ols,501,10000,STATIC,ols,130,1.75,2.5,10000,501,ols,130,1.75,2.5,10000,501,34.343562852659346
2sls,501,10000,STATIC,2sls,100,0.25,3.5,10000,501,2sls,100,0.25,3.5,10000,501,34.31923694019107
2sls,501,10000,STATIC,2sls,100,0.25,4.0,10000,501,2sls,100,0.25,4.0,10000,501,34.31923694019107
ols,501,10000,STATIC,ols,140,1.25,3.5,10000,501,ols,140,1.25,3.5,10000,501,34.279430952557135
ols,501,10000,STATIC,ols,140,1.25,4.0,10000,501,ols,140,1.25,4.0,10000,501,34.279430952557135
2sls,501,10000,STATIC,2sls,150,1.0,4.0,10000,501,2sls,150,1.0,4.0,10000,501,34.265270719320675
2sls,501,10000,STATIC,2sls,120,2.25,3.5,10000,501,2sls,120,2.25,3.5,10000,501,34.25220923386534
ols,501,10000,STATIC,ols,150,0.25,4.0,10000,501,ols,150,0.25,4.0,10000,501,34.17762983401511
2sls,501,10000,STATIC,2sls,80,0.75,4.0,10000,501,2sls,80,0.75,4.0,10000,501,34.17744358144427
