ADAPTIVE_START_DAY,POSITION_SIZE,STATIC_PARAMS.ZSCORE_LOOKBACK,STATIC_PARAMS.ENTRY_THRESHOLD,STATIC_PARAMS.STOP_LOSS_THRESHOLD,ADAPTIVE_PARAMS.ZSCORE_LOOKBACK,ADAPTIVE_PARAMS.ENTRY_THRESHOLD,ADAPTIVE_PARAMS.STOP_LOSS_THRESHOLD,score
501,10000,120,2.0,3.5,120,1.5,2.5,41.894544538800254
301,10000,120,2.0,3.0,120,1.0,3.0,41.88458996479418
501,10000,90,1.0,3.0,120,1.5,4.0,41.83828008167049
501,10000,90,1.0,3.0,120,1.5,3.5,41.83828008167049
301,10000,120,2.0,3.0,120,1.5,2.5,41.793421985689214
401,10000,120,2.0,3.0,120,1.0,3.0,41.7756675669982
501,10000,120,2.0,4.0,120,1.0,2.5,41.75555792958119
401,10000,120,1.5,4.0,120,1.5,4.0,41.70617445511444
401,10000,120,1.5,4.0,120,1.5,3.5,41.70617445511444
501,10000,120,1.5,3.0,120,1.5,3.0,41.60589622832919
501,10000,120,1.0,4.0,120,1.5,2.5,41.576580700597745
501,10000,120,1.0,4.0,120,1.0,3.5,41.56244763604273
501,10000,120,1.0,4.0,120,1.0,4.0,41.56244763604273
601,10000,120,1.5,4.0,120,1.5,3.5,41.554208803323284
601,10000,120,1.5,4.0,120,1.5,4.0,41.554208803323284
501,10000,120,2.0,3.5,120,1.0,2.5,41.5124313480314
401,10000,120,1.5,3.5,120,1.5,4.0,41.476161623832084
401,10000,120,1.5,3.5,120,1.5,3.5,41.476161623832084
601,10000,120,1.5,3.5,120,1.5,4.0,41.43926828311023
601,10000,120,1.5,3.5,120,1.5,3.5,41.43926828311023
501,10000,90,1.0,3.0,120,1.5,3.0,41.42225298738373
601,10000,120,1.5,4.0,120,1.5,3.0,41.4027359989938
501,10000,120,1.0,3.5,120,1.5,2.5,41.34884355315386
501,10000,120,1.0,3.5,120,1.0,4.0,41.333221429828875
501,10000,120,1.0,3.5,120,1.0,3.5,41.333221429828875
601,10000,120,1.5,3.5,120,1.5,3.0,41.287820225757564
401,10000,120,1.5,4.0,120,1.5,3.0,41.24744571347805
401,10000,120,1.5,3.0,120,1.5,3.5,41.220767662145214
401,10000,120,1.5,3.0,120,1.5,4.0,41.220767662145214
501,10000,120,1.0,4.0,120,1.0,3.0,41.208814360802606
401,10000,120,2.0,4.0,120,1.5,2.5,41.025418565749945
401,10000,120,1.5,3.5,120,1.5,3.0,41.017572182339684
501,10000,120,1.0,3.5,120,1.0,3.0,40.97965439986023
601,10000,120,2.0,4.0,120,1.5,3.5,40.92687155566126
601,10000,120,2.0,4.0,120,1.5,4.0,40.92687155566126
601,10000,120,2.0,3.5,120,1.5,3.5,40.7975763085415
601,10000,120,2.0,3.5,120,1.5,4.0,40.7975763085415
501,10000,120,1.5,4.0,120,1.5,2.5,40.787481551483644
401,10000,120,2.0,3.5,120,1.5,2.5,40.78274025934381
