ZSCORE_LOOKBACK,ENTRY_THRESHOLD,STOP_LOSS_THRESHOLD,score
120,1.5,3.0,30.111510696047873
140,1.5,2.5,29.993550571305974
130,1.0,3.0,29.96588051050528
80,0.75,3.0,29.852744898782383
100,1.5,3.0,29.536009957032334
110,2.0,3.0,29.28870248393016
80,2.0,3.0,29.23337105023204
110,1.75,4.0,29.15876202490702
110,1.75,3.5,29.15876202490702
150,2.25,3.0,29.130205847111167
140,0.75,2.5,29.082587945863345
130,0.5,2.5,28.967934481244036
70,2.0,3.0,28.79597167893293
80,1.0,3.0,28.582602007722976
150,2.0,3.0,28.56058656648739
100,2.0,3.0,28.5478777991769
90,1.5,4.0,28.337310762206897
90,1.5,3.5,28.337310762206897
100,0.5,3.5,28.30525345623694
100,0.5,4.0,28.30525345623694
140,1.0,3.0,28.184129871271118
120,1.25,4.0,28.183549535735253
110,1.25,4.0,28.112233599165897
110,1.25,3.5,28.112233599165897
90,1.0,2.5,27.96597224652271
70,1.75,4.0,27.918035527484854
120,1.25,3.5,27.78877115152705
120,1.75,2.5,27.708758555784293
90,0.75,3.0,27.620890659223754
70,1.75,3.5,27.46136122825823
140,2.0,2.5,27.417724811145078
150,2.25,2.5,27.23991570395769
100,1.25,4.0,27.10530578240384
100,1.25,3.5,27.10530578240384
110,1.5,3.0,27.00465172917987
90,2.0,3.5,26.974598772372907
90,2.0,4.0,26.974598772372907
110,1.0,3.5,26.919792814726456
110,1.0,4.0,26.919792814726456
80,0.5,4.0,26.873970180387737
80,1.25,4.0,26.690226056434632
150,1.0,2.5,26.580528839522223
150,1.25,2.5,26.56244646053873
140,0.5,2.5,26.547604009160167
100,1.0,4.0,26.543489773464245
100,1.0,3.5,26.543489773464245
80,0.5,3.5,26.464037882093194
130,0.75,2.5,26.427236718998124
100,1.75,3.5,26.364465083197143
100,1.75,4.0,26.364465083197143
80,1.25,3.5,26.288250359956876
120,1.25,3.0,26.02898527338334
70,1.75,3.0,26.02851725006682
90,1.5,3.0,26.010360794231467
80,1.75,4.0,25.842476077319265
110,0.5,4.0,25.818229956939945
110,0.5,3.5,25.818229956939945
100,0.5,3.0,25.523811128397945
80,1.75,3.5,25.4320094952157
120,0.75,4.0,25.32973851499503
90,1.75,4.0,25.246631029193267
90,1.75,3.5,25.246631029193267
90,0.75,2.5,25.23831460651526
110,2.25,3.5,25.15766470494059
110,2.25,4.0,25.15766470494059
80,1.5,4.0,25.126188318450275
140,1.25,2.5,25.07133798657938
130,1.25,2.5,25.021509256239504
110,1.75,3.0,25.015442414636254
80,2.25,4.0,24.94886918856486
120,0.75,3.5,24.93996832161381
100,0.75,4.0,24.742651639714992
100,0.75,3.5,24.742651639714992
80,1.5,3.5,24.718115528273167
130,1.0,2.5,24.7156525893002
80,0.75,2.5,24.64655919807855
90,0.5,3.5,24.5940884674407
90,0.5,4.0,24.5940884674407
80,2.25,3.5,24.54929325699552
140,2.25,2.5,24.50939574035222
100,1.25,3.0,24.494109682265155
90,2.0,3.0,24.26914397780566
90,1.25,3.5,24.205699513941667
90,1.25,4.0,24.205699513941667
120,0.5,2.5,24.177109893437347
100,1.75,3.0,24.075341388033817
100,1.5,2.5,24.017011466044536
80,0.5,3.0,24.004939324029976
110,1.25,3.0,23.94037481825007
120,2.0,2.5,23.851182202734456
100,1.0,3.0,23.81773415795511
80,1.25,3.0,23.765592798318565
80,1.0,2.5,23.642298085258886
120,1.0,2.5,23.576415130184635
120,1.5,2.5,23.370854588467864
90,1.5,2.5,23.339713623283384
120,2.5,4.0,23.3187942951484
120,0.75,3.0,23.19333150750745
90,1.75,3.0,23.07406587344466
80,1.75,3.0,23.065708512329756
110,2.5,3.5,22.998034293645148
110,2.5,4.0,22.998034293645148
120,2.5,3.5,22.900482111820118
70,0.75,4.0,22.87145248095657
110,1.0,3.0,22.751342952948313
110,1.5,2.5,22.655591150613375
150,2.0,2.5,22.612652431556437
100,2.25,4.0,22.531106672350077
100,2.25,3.5,22.531106672350077
70,2.25,4.0,22.472786157768912
70,0.75,3.5,22.41963508870046
80,1.5,3.0,22.21004572609918
90,0.5,3.0,22.06104051519427
80,2.25,3.0,22.038201572626278
100,0.75,3.0,21.985105796352826
70,2.25,3.5,21.954894078822996
90,1.25,3.0,21.770005048120076
130,2.5,4.0,21.520077439975307
70,1.0,4.0,21.519534727899917
110,0.5,3.0,21.490614281882245
60,2.25,4.0,21.35628196283213
130,2.75,4.0,21.196549019767076
150,2.5,4.0,21.177689551130996
60,2.25,3.5,21.117559803617212
130,2.5,3.5,21.103466759080742
70,2.25,3.0,21.089995755300343
70,1.0,3.5,21.076940577594918
70,0.75,3.0,21.051554190753237
100,0.5,2.5,20.893557750001243
130,2.75,3.5,20.800198212018493
150,2.5,3.5,20.768244009935447
110,1.75,2.5,20.705673846577064
110,1.25,2.5,20.518805760774406
100,2.75,4.0,20.484122323772997
100,2.75,3.5,20.484122323772997
110,2.25,3.0,20.368186322137895
70,1.25,4.0,20.348400912955327
100,1.25,2.5,20.152776662197738
110,2.0,2.5,20.101217820195004
80,2.0,2.5,20.012917200441386
120,2.5,3.0,19.987770257390338
110,0.75,3.5,19.93062850008723
110,0.75,4.0,19.93062850008723
90,1.75,2.5,19.909322255975646
70,1.25,3.5,19.87861561032654
100,2.25,3.0,19.87858181274607
140,1.0,2.5,19.829179540123405
90,0.5,2.5,19.825434062046952
70,1.0,3.0,19.639044721277052
100,1.0,2.5,19.55325368384944
90,1.25,2.5,19.41717843181489
120,1.25,2.5,19.37669097177499
110,1.0,2.5,19.36173109356951
60,2.25,3.0,19.139404557166124
70,1.5,4.0,19.11565562344736
100,2.75,3.0,19.09901946257251
80,1.25,2.5,18.981880115410107
100,1.75,2.5,18.931104479205082
80,0.5,2.5,18.786478939246486
120,2.25,2.5,18.76233605571152
70,1.5,3.5,18.654635108207763
140,2.5,3.5,18.651052261341864
140,2.5,4.0,18.651052261341864
70,1.25,3.0,18.490784754687716
70,2.0,2.5,18.352172553404742
70,0.5,4.0,18.34427122525043
100,2.5,4.0,18.19883317215546
100,2.5,3.5,18.19883317215546
70,2.5,4.0,17.99311040026641
70,0.5,3.5,17.873529860207576
110,0.5,2.5,17.85043820687993
70,2.5,3.5,17.78875927934976
60,2.5,3.0,17.595459448652637
90,2.0,2.5,17.492072461993807
100,0.75,2.5,17.409236220597386
70,1.5,3.0,17.391466488890508
70,1.75,2.5,17.372448693221127
100,2.0,2.5,17.10274573443344
110,2.75,4.0,17.074938780043652
110,2.75,3.5,17.074938780043652
60,2.5,4.0,16.890807457259076
90,2.5,4.0,16.8207133795625
90,2.5,3.5,16.8207133795625
60,2.5,3.5,16.65239060598528
70,0.5,3.0,16.64671474100119
120,2.75,4.0,16.644837616172733
70,2.5,3.0,16.521365520780968
80,1.5,2.5,16.49001676109078
140,2.5,3.0,16.46514398981892
60,1.75,4.0,16.43807638742308
120,0.75,2.5,16.366053685156466
120,2.75,3.5,16.250691238469877
60,1.75,3.5,16.203808632574507
90,2.25,4.0,16.160043746123133
90,2.25,3.5,16.160043746123133
150,2.5,3.0,16.005873698904953
110,0.75,3.0,15.712359804650255
110,2.25,2.5,15.262939644729492
80,2.5,4.0,15.228362540628861
130,2.75,3.0,15.054703318923838
80,2.5,3.5,14.833432690900029
60,2.25,2.5,14.496644313546092
100,2.5,3.0,14.376048635596945
110,2.5,3.0,14.065152539608874
60,2.0,4.0,14.038245904077776
60,1.75,3.0,13.918863231263899
60,2.0,3.5,13.804259316264464
70,2.25,2.5,13.679371755117696
90,2.5,3.0,13.67591825422199
140,2.75,4.0,13.61282597763741
140,2.75,3.5,13.61282597763741
70,2.75,3.5,13.570358344012654
90,2.25,3.0,13.484991256378372
80,1.75,2.5,13.432726083327612
90,2.75,4.0,13.4035813133295
90,2.75,3.5,13.4035813133295
70,0.75,2.5,13.394509975312843
80,2.5,3.0,13.375745041769036
100,2.5,2.5,13.231362664896354
70,2.75,4.0,13.040942647103524
150,2.75,4.0,12.933957892263045
150,2.75,3.0,12.910437711876163
130,2.5,3.0,12.852905534825062
120,2.5,2.5,12.68620741288381
140,2.75,3.0,12.590023587816312
150,2.75,3.5,12.531427720344237
70,1.0,2.5,12.255141102156081
110,0.75,2.5,12.048302021628267
60,2.0,3.0,11.523864616917766
100,2.25,2.5,11.370708807401154
70,1.25,2.5,10.847911534318264
70,1.5,2.5,10.242196943853692
80,2.75,4.0,10.041191704862289
90,2.75,3.0,9.939056257204271
70,2.75,3.0,9.791615917767047
80,2.75,3.5,9.644120504295223
70,0.5,2.5,8.960027067444265
60,0.75,4.0,8.817274895622553
50,2.0,3.0,8.679140588553253
60,0.75,3.5,8.574861715306845
110,2.5,2.5,8.48563609984108
120,2.75,3.0,7.569261714162181
60,2.5,2.5,7.5637107549451095
80,2.75,3.0,7.483560859320757
80,2.25,2.5,7.285563143005621
60,0.5,4.0,7.003887777573205
50,2.0,4.0,6.93916506527513
60,0.5,3.5,6.763190879035356
150,2.5,2.5,6.725160048819124
50,2.0,2.5,6.5021076613794015
60,0.75,3.0,6.482864263747921
50,2.0,3.5,5.93462645062009
80,2.5,2.5,5.840226961993565
70,2.5,2.5,5.610350869387393
100,2.75,2.5,5.531318786588965
60,1.5,4.0,5.263718657284137
60,1.5,3.5,5.0301173432619635
110,2.75,3.0,4.803011406009219
60,0.5,3.0,4.702306328411801
60,2.75,4.0,4.5805873148234895
60,2.75,3.5,4.333094206307802
60,2.75,3.0,4.282363699998097
60,1.75,2.5,4.015257600762034
60,1.0,4.0,3.9365372340552156
60,1.0,3.5,3.704854741893321
50,2.75,3.0,3.6146923829111515
140,2.5,2.5,2.865751190842932
60,1.5,3.0,2.780383445565761
50,0.5,3.0,2.3495197876209986
50,0.75,3.0,2.290455059663742
50,0.75,4.0,1.963053668619665
50,0.5,4.0,1.9563087669246428
60,1.0,3.0,1.6113831278083808
130,2.75,2.5,1.3577551429742822
70,2.75,2.5,1.1137711149268608
50,1.75,3.0,1.0123773011622816
50,2.5,3.0,0.776383064711883
50,0.5,3.5,0.7600214334552859
50,0.75,3.5,0.7336050975144133
50,1.75,4.0,0.22575080516253365
90,2.75,2.5,-0.3648068782993352
50,2.5,4.0,-0.5818035606897958
80,2.75,2.5,-0.7718311369631135
50,2.25,3.0,-0.912594938065368
50,1.75,3.5,-0.9835231254522654
90,2.25,2.5,-1.0114784122319591
110,2.75,2.5,-1.160869443917056
50,2.5,3.5,-1.2610456649820385
120,2.75,2.5,-1.6582368486061814
130,2.5,2.5,-1.856209367811676
50,2.75,3.5,-2.008288338108354
50,2.75,4.0,-2.1321811661293815
60,0.75,2.5,-2.353004844405021
60,2.0,2.5,-2.444802436618854
50,2.25,4.0,-2.6140666106497257
60,0.5,2.5,-3.5703232085816623
50,2.25,3.5,-3.5955762372740807
140,2.75,2.5,-3.863151075650208
50,1.25,3.0,-4.799221696131809
150,2.75,2.5,-4.881040624894394
50,1.25,4.0,-4.9999861770637715
50,1.5,3.0,-5.012136254390597
50,1.5,4.0,-5.7712658308049924
60,2.75,2.5,-5.8326983478727605
60,1.5,2.5,-6.0675787789683895
50,1.25,3.5,-6.220755692947645
50,1.5,3.5,-7.000182166179027
60,1.0,2.5,-7.242615680058325
50,0.75,2.5,-7.368339863618068
60,1.25,4.0,-7.471195244507296
50,0.5,2.5,-7.659765415039292
60,1.25,3.5,-7.7038111210182265
50,2.5,2.5,-8.474327666668803
50,1.75,2.5,-8.625873670164353
50,1.0,3.0,-8.673094100612168
50,1.0,4.0,-8.994680058868454
90,2.5,2.5,-9.609308049378477
60,1.25,3.0,-9.926561661642506
50,1.0,3.5,-10.211491874545729
50,2.75,2.5,-11.247503920157438
50,2.25,2.5,-13.259498462199995
50,1.5,2.5,-14.08303816890384
50,1.25,2.5,-14.863068317862016
50,1.0,2.5,-18.459793072703153
60,1.25,2.5,-18.930910057545958
