ADAPTIVE_START_DAY,ZSCORE_LOOKBACK,ENTRY_THRESHOLD,STOP_LOSS_THRESHOLD,POSITION_SIZE,score
501,110,0.8,3.5,10000,66.57597825314568
501,110,0.8,3.75,10000,66.57597825314568
501,110,0.8,4.0,10000,66.57597825314568
501,120,0.6,3.75,10000,65.83814671886495
501,120,0.6,4.0,10000,65.83814671886495
501,120,0.6,3.5,10000,65.83814671886492
501,120,0.6,3.25,10000,65.7474323084815
501,110,0.8,3.25,10000,65.56114184703878
501,110,0.8,2.75,10000,65.12813342283062
501,120,0.6,3.0,10000,64.9672944477098
501,110,0.8,3.0,10000,64.4756033344328
501,110,1.6,3.75,10000,63.63202802022333
501,110,1.6,3.5,10000,63.63202802022333
501,110,1.6,4.0,10000,63.63202802022333
501,110,1.6,3.25,10000,62.46217357350277
501,110,0.9,4.0,10000,62.19370396293292
501,110,0.9,3.75,10000,62.19370396293292
501,110,0.9,3.5,10000,62.19370396293292
501,110,0.5,3.75,10000,62.052921792905416
501,110,0.5,4.0,10000,62.052921792905416
501,110,0.5,3.5,10000,62.052921792905416
501,140,0.9,3.75,10000,61.984738155387575
501,140,0.9,3.5,10000,61.984738155387575
501,140,0.9,4.0,10000,61.984738155387575
501,120,0.6,2.25,10000,61.94737822093429
501,140,0.9,3.25,10000,61.89357365723851
501,120,0.6,2.75,10000,61.866575125402456
501,140,1.6,3.75,10000,61.7890921226513
501,140,1.6,4.0,10000,61.7890921226513
501,140,1.6,3.5,10000,61.7890921226513
501,110,0.6,4.0,10000,61.785453521695864
501,110,0.6,3.5,10000,61.785453521695864
501,110,0.6,3.75,10000,61.785453521695864
501,110,1.6,2.75,10000,61.73890259153349
501,140,1.6,3.25,10000,61.70010017073888
501,120,1.4000000000000001,3.75,10000,61.68989463704693
501,120,1.4000000000000001,4.0,10000,61.68989463704693
501,120,1.4000000000000001,3.5,10000,61.68989463704693
501,120,1.4000000000000001,3.25,10000,61.602586575067015
501,140,0.9,3.0,10000,61.56007248566929
501,140,0.7000000000000001,4.0,10000,61.42064259869448
501,140,0.7000000000000001,3.5,10000,61.42064259869448
501,140,0.7000000000000001,3.75,10000,61.42064259869448
501,110,1.6,3.0,10000,61.4168249356765
501,140,0.7000000000000001,3.25,10000,61.32604854036243
501,140,1.6,3.0,10000,61.27062638113162
501,110,0.9,3.25,10000,61.18449715866805
501,110,0.5,3.25,10000,61.06430534478344
501,140,0.7000000000000001,3.0,10000,60.99554364175029
501,110,0.9,2.75,10000,60.77657448184097
501,110,0.6,3.25,10000,60.770088268960386
501,120,1.4000000000000001,3.0,10000,60.726564336986385
501,110,0.5,2.75,10000,60.57407937745731
501,110,0.7000000000000001,3.75,10000,60.55618056390879
501,110,0.7000000000000001,4.0,10000,60.55618056390879
501,110,0.7000000000000001,3.5,10000,60.55618056390879
501,120,0.6,2.5,10000,60.349131186057676
501,110,0.6,2.75,10000,60.32695398215002
501,110,0.9,3.0,10000,60.10362455713433
501,110,0.8,2.25,10000,60.09664530961924
501,110,1.7000000000000002,3.75,10000,60.00360010941574
501,110,1.7000000000000002,3.5,10000,60.00360010941574
501,110,1.7000000000000002,4.0,10000,60.00360010941574
501,110,0.5,3.0,10000,59.964172713719854
501,120,1.5000000000000002,4.0,10000,59.80571470342818
501,120,1.5000000000000002,3.75,10000,59.80571470342818
501,120,1.5000000000000002,3.5,10000,59.80571470342812
501,120,1.5000000000000002,3.25,10000,59.71845903004124
501,140,0.9,2.75,10000,59.694710564166925
501,110,0.6,3.0,10000,59.67031346471948
501,110,0.8,2.5,10000,59.66974570926189
501,110,0.7000000000000001,3.25,10000,59.540809423813776
501,140,1.5000000000000002,4.0,10000,59.458444335589355
501,140,1.5000000000000002,3.75,10000,59.458444335589355
501,140,1.5000000000000002,3.5,10000,59.458444335589355
501,120,1.4000000000000001,2.25,10000,59.38113144756524
501,140,1.5000000000000002,3.25,10000,59.36951271233448
501,150,0.8,4.0,10000,59.13957668727677
501,150,0.8,3.75,10000,59.13957668727677
501,150,0.8,3.5,10000,59.1395766872767
501,140,0.1,4.0,10000,59.126714486878946
501,140,0.1,3.5,10000,59.126714486878946
501,140,0.1,3.75,10000,59.126714486878946
501,110,0.7000000000000001,2.75,10000,59.10674070919395
501,150,0.8,3.25,10000,59.046154094616156
501,120,1.3000000000000003,3.5,10000,59.038261495343384
501,120,1.3000000000000003,4.0,10000,59.03826149534326
501,120,1.3000000000000003,3.75,10000,59.03826149534326
501,140,0.1,3.25,10000,59.023343590073864
501,120,1.3000000000000003,3.25,10000,58.950714398965204
501,140,1.5000000000000002,3.0,10000,58.93653111331883
501,110,1.5000000000000002,3.75,10000,58.911192289178146
501,110,1.5000000000000002,4.0,10000,58.911192289178146
501,110,1.5000000000000002,3.5,10000,58.911192289178146
501,140,0.7000000000000001,2.75,10000,58.85045184815754
501,110,1.7000000000000002,3.25,10000,58.836461745683614
501,140,1.6,2.75,10000,58.81835269592646
501,120,1.5000000000000002,3.0,10000,58.808742677536394
501,140,0.9,2.5,10000,58.72014170326903
501,140,0.1,3.0,10000,58.69568002779066
501,150,0.8,3.0,10000,58.68903646924491
501,130,0.7000000000000001,3.5,10000,58.66611767422399
501,130,0.7000000000000001,3.75,10000,58.666117674223976
501,130,0.7000000000000001,4.0,10000,58.666117674223976
501,130,0.7000000000000001,3.25,10000,58.57190983830737
501,110,0.7000000000000001,3.0,10000,58.45472648718833
501,150,0.7000000000000001,3.75,10000,58.284909285306796
501,150,0.7000000000000001,4.0,10000,58.284909285306796
